Feature,importance,fold
percentile_roll_std_1_window_10000,47.8,3
percentile_roll_std_1_window_500,50.8,3
percentile_roll_std_5_window_100,74.2,3
percentile_roll_std_5_window_1000,80.8,3
percentile_roll_std_5_window_10000,47.8,3
percentile_roll_std_5_window_500,54.6,3
percentile_roll_std_90_window_100,28.0,3
percentile_roll_std_90_window_1000,34.0,3
percentile_roll_std_90_window_10000,15.4,3
percentile_roll_std_90_window_500,18.6,3
percentile_roll_std_95_window_100,13.4,3
percentile_roll_std_95_window_1000,33.2,3
percentile_roll_std_95_window_10000,17.4,3
percentile_roll_std_95_window_500,32.8,3
percentile_roll_std_99_window_100,17.2,3
percentile_roll_std_99_window_1000,14.4,3
percentile_roll_std_99_window_10000,16.6,3
percentile_roll_std_99_window_500,12.4,3
range_-100_-95,4.6,3
range_-105_-100,9.8,3
range_-110_-105,7.0,3
range_-115_-110,2.8,3
range_-120_-115,7.0,3
range_-125_-120,4.0,3
range_-130_-125,4.4,3
range_-135_-130,1.8,3
range_-140_-135,4.4,3
range_-145_-140,0.8,3
range_-150_-145,4.8,3
range_-155_-150,1.6,3
range_-15_-10,30.0,3
range_-160_-155,2.4,3
range_-165_-160,5.4,3
range_-170_-165,3.2,3
range_-175_-170,1.8,3
range_-180_-175,8.0,3
range_-185_-180,5.4,3
range_-190_-185,0.8,3
range_-195_-190,0.6,3
range_-200_-195,1.8,3
range_-20_-15,21.2,3
range_-25_-20,23.8,3
range_-30_-25,34.6,3
range_-35_-30,26.4,3
range_-40_-35,15.4,3
range_-45_-40,14.0,3
range_-50_-45,12.6,3
range_-55_-50,17.2,3
range_-60_-55,15.6,3
range_-65_-60,7.8,3
range_-70_-65,9.4,3
range_-75_-70,15.2,3
range_-80_-75,7.2,3
range_-85_-80,6.0,3
range_-90_-85,4.8,3
range_-95_-90,5.4,3
range_100_105,6.0,3
range_105_110,5.6,3
range_110_115,4.8,3
range_115_120,4.8,3
range_120_125,4.2,3
range_125_130,5.0,3
range_130_135,4.0,3
range_135_140,4.8,3
range_140_145,1.0,3
range_145_150,1.8,3
range_150_155,2.4,3
range_155_160,2.2,3
range_160_165,3.0,3
range_165_170,7.0,3
range_170_175,2.6,3
range_175_180,5.4,3
range_180_185,0.0,3
range_185_190,0.8,3
range_190_195,3.2,3
range_20_25,27.4,3
range_25_30,15.4,3
range_30_35,20.0,3
range_35_40,17.0,3
range_40_45,18.2,3
range_45_50,18.0,3
range_50_55,16.8,3
range_55_60,14.4,3
range_60_65,9.8,3
range_65_70,12.2,3
range_70_75,16.0,3
range_75_80,10.6,3
range_80_85,9.4,3
range_85_90,5.4,3
range_90_95,6.4,3
range_95_100,2.6,3
skew,55.0,3
spkt_welch_density_1,27.2,3
spkt_welch_density_10,19.2,3
spkt_welch_density_100,40.0,3
spkt_welch_density_5,25.2,3
spkt_welch_density_50,26.6,3
std,2.4,3
std_first_1000,32.8,3
std_first_10000,29.6,3
std_first_50000,22.4,3
std_last_1000,18.8,3
std_last_10000,23.8,3
std_last_50000,14.8,3
std_roll_mean_100,15.6,3
